Company Name,Industry,Symbol,Series,ISIN Code,Date
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,06-02-2025
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,06-02-2025
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,06-02-2025
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,06-02-2025
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,06-02-2025
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,06-02-2025
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,06-02-2025
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,06-02-2025
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,06-02-2025
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,06-02-2025
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,06-02-2025
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,06-02-2025
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,06-02-2025
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,06-02-2025
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,06-02-2025
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,06-02-2025
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,06-02-2025
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,06-02-2025
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,06-02-2025
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,06-02-2025
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,06-02-2025
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,06-02-2025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,06-02-2025
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,06-02-2025
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,06-02-2025
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,06-02-2025
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,06-02-2025
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,06-02-2025
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,06-02-2025
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,06-02-2025
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,06-02-2025
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,06-02-2025
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,06-02-2025
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,06-02-2025
