Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,463.5,469.95001220703125,462.6499938964844,468.04998779296875,453.236328125,9346277
2024-01-02,470.0,471.3500061035156,463.6000061035156,470.3500061035156,455.46356201171875,10519771
2024-01-03,470.25,480.70001220703125,469.3500061035156,477.25,462.14520263671875,24036012
2024-01-04,480.0,481.45001220703125,474.20001220703125,476.3999938964844,461.32208251953125,11786959
2024-01-05,479.3999938964844,479.3999938964844,472.0,473.95001220703125,458.94964599609375,9209405
2024-01-08,475.0,475.5,464.54998779296875,465.5,450.76708984375,8003177
2024-01-09,467.5,469.95001220703125,463.6499938964844,464.54998779296875,449.84710693359375,5696780
2024-01-10,464.54998779296875,466.75,460.04998779296875,463.29998779296875,448.6366882324219,5896123
2024-01-11,464.1000061035156,466.54998779296875,461.1000061035156,462.6499938964844,448.00726318359375,6534775
2024-01-12,463.25,467.70001220703125,460.3500061035156,466.70001220703125,451.9290771484375,9354326
2024-01-15,470.0,470.5,466.1000061035156,467.6000061035156,452.8006286621094,6902156
2024-01-16,467.79998779296875,475.0,464.25,472.29998779296875,457.351806640625,12066347
2024-01-17,471.3999938964844,477.0,465.20001220703125,466.6000061035156,451.8322448730469,11108698
2024-01-18,465.25,467.8500061035156,454.54998779296875,465.5,450.76708984375,9143784
2024-01-19,468.54998779296875,473.0,466.3999938964844,471.5,456.5771789550781,12203322
2024-01-23,473.75,473.75,456.3999938964844,459.29998779296875,444.7632751464844,8404513
2024-01-24,460.1000061035156,467.3999938964844,458.1000061035156,463.6000061035156,448.9272155761719,21626183
2024-01-25,463.54998779296875,464.95001220703125,452.1000061035156,455.6499938964844,441.2287902832031,19677700
2024-01-29,455.8999938964844,457.25,447.5,449.79998779296875,435.56396484375,17869152
2024-01-30,447.0,453.70001220703125,437.3999938964844,438.04998779296875,424.18585205078125,43514448
2024-01-31,440.0,442.5,438.70001220703125,441.54998779296875,427.5750732421875,19882944
2024-02-01,442.0,447.75,439.29998779296875,442.8999938964844,428.8823547363281,19165409
2024-02-02,445.0,447.20001220703125,439.5,440.1000061035156,426.1709899902344,17156021
2024-02-05,442.0,443.6499938964844,436.54998779296875,438.04998779296875,424.18585205078125,12041897
